,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timing val,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
connectionStatus,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected,connected
timeRemaining,134,133,132,131,130,129,128,127,126,125,124,123,122,121,120,119,118,117,116,115,114,113,112,111,110,109,108,107,106,105,104
sucess,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
A_Angle,199,97,343,5,313,311,53,188,267,113,142,65,251,47,308,78,43,17,224,248,113,333,44,345,24,57,273,172,321,130,4
A_Offset_Angle,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631,0.810631
Auto,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball,Auto_3_Ball
B_Angle,168,165,20,284,294,173,249,123,164,85,178,180,341,2,189,286,20,277,10,158,353,102,341,248,71,204,302,266,3,280,264
B_Offset_Angle,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438,-0.368438
Battery Voltage,10.83391438639224,11.639928837002715,11.451686157045012,11.384191919603937,11.527151326565841,11.222952225934428,11.166764684917117,11.49439656339258,10.925681235257532,11.190762531815263,11.606194384810099,11.099128479280328,11.753442352025719,10.964068671444965,11.022932662730229,11.346475291827874,11.472403920326876,11.04755529885759,11.220064436584163,11.768875527636451,10.957250481492753,11.273635484149468,11.76516130070816,11.063255281548981,10.848728104529092,11.168064332242167,11.08657423960486,11.227065444381351,11.021379544363798,11.33419342806818,11.594940747162648
C_Angle,47,250,320,48,210,237,60,334,304,266,90,282,225,231,27,258,114,255,235,199,52,117,272,329,73,139,329,82,101,59,106
C_Offset_Angle,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405,-0.78405
D_Angle,80,107,217,300,315,77,18,242,289,90,101,204,90,213,107,154,242,151,295,249,179,193,76,238,170,8,282,144,156,322,324
D_Offset_Angle,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069,0.6279069
Drivetrain Mode,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE,ULTIMATESWERVE
Gyro Angle,59,167,179,339,167,225,321,191,241,83,14,180,308,190,120,43,337,151,309,55,252,218,80,106,258,263,60,64,318,255,176
Injector Mode,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE,INJECTOR_REVERSE
Injector Speed,27,6,-92,-98,33,23,55,-45,-60,47,69,-38,-95,51,-53,2,-56,83,-16,27,-76,-22,-80,-65,37,-79,-26,-50,10,69,-84
Intake Mode,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED,INTAKE_RETRACTED
Intake Speed,259,-193,-34,185,-53,-39,-27,-341,-417,35,-196,443,184,399,48,-480,11,-438,335,61,-380,-411,-175,327,-16,104,-403,-338,-188,-448,256
Shooter A Setpoint,1744,1702,1782,1727,1703,1723,1788,1762,1788,1788,1754,1770,1744,1797,1767,1714,1768,1729,1714,1719,1711,1755,1767,1759,1764,1758,1792,1752,1709,1773,1786
Shooter A Speed,1723,1710,1791,1781,1746,1762,1794,1784,1780,1785,1764,1741,1771,1776,1798,1723,1794,1792,1752,1753,1700,1793,1798,1778,1749,1717,1768,1764,1748,1713,1732
Shooter B Setpoint,1775,1706,1724,1714,1772,1773,1755,1730,1796,1701,1724,1787,1781,1752,1775,1714,1800,1797,1732,1736,1716,1799,1796,1797,1730,1771,1772,1798,1767,1703,1704
Shooter B Speed,853,859,822,811,833,882,875,865,847,862,836,875,834,814,851,806,865,873,852,851,860,882,876,834,887,869,873,894,818,866,800
robotX,0.9703528655238821,0.7113411854334358,0.338465610463788,0.2538293949043263,0.4410425020761827,0.33260899425392243,0.9927055947593255,0.7316350428753994,0.23887179945459447,0.07043163545031028,0.01525898834643491,0.27181391166013014,0.13955335106089828,0.33305718180511756,0.07551698258729078,0.9724327864417431,0.9187296117577847,0.20483182447881632,0.5750183602087626,0.06841744007151085,0.36333031658331216,0.6572425230253192,0.5284056818353476,0.48570059510798813,0.9351918787730122,0.056994042944989665,0.7857475800025807,0.3537809473579573,0.4293992339009671,0.5761597405748478,0.4659790737048881
robotY,0.5483773209484009,0.012417313292229504,0.6513861949959245,0.9711787623762727,0.4941433154917083,0.1319562122968827,0.059777837738486106,0.7269259570502513,0.4833430182499081,0.8467612541567572,0.6163940050140712,0.9855813440210492,0.19294268804469095,0.8638392988439834,0.3235685472126971,0.3981739823293262,0.924329530078033,0.6849292021973188,0.19201087280972917,0.6848981484648445,0.22788971526373858,0.6975041143973293,0.6955368161971239,0.950582409177311,0.8659709522237566,0.05704167498766333,0.6314586587315467,0.023768680905621453,0.09370440702033,0.6489580448858686,0.676204165849753
ta,5.88236227066562,24.440883382835313,19.556655784916305,19.431672512705532,18.148968235581332,6.346207941923732,21.471082048067508,20.33160158566391,10.016839917409685,10.391082286280797,11.633338996298868,17.891548164778598,17.35723686416179,17.559084712407223,21.583803017412627,23.929576533768593,6.6676097713786415,7.60818886190857,17.160398801221458,14.773687087684213,13.805334792455799,17.505177443386124,5.528481657963429,11.532518542349305,9.956105464193499,14.425716316819575,9.302031005383153,19.38983901485392,10.008869326410558,23.093007116412107,5.007659503229583
tx,5.214089364171802,6.456625724827769,8.576921279155865,15.528035048803188,16.522498506774422,6.911448198411243,2.7240698661602147,12.251697821865978,3.713565897270026,11.770639860445488,6.316650162058764,4.0484938482589605,14.582235025630485,15.544427359280633,2.025887788775922,3.192652259557871,17.31563827040223,8.58194591165321,0.9569995524429653,16.42168842246845,7.819545394863921,5.825159456451184,5.233677501182578,13.18119803334283,2.489109348755918,13.604619198248603,13.044353769105637,1.6855673697423401,12.106597701207795,2.1517234785217765,18.344793822384
ty,11.214629988623967,3.389305277809025,18.527873428885503,6.687647491861137,12.701613041526779,11.237762839617723,7.478901732676107,13.903480718735342,8.10149719996857,4.184636078136967,13.574583388455363,18.57246426953956,12.502698942840883,11.961350164753204,6.517170545028106,11.948880766253161,15.236663592861534,4.511471868524771,10.075485820815535,19.41741045803848,4.1299103032826885,7.079189558779591,6.276075167735289,2.1845434650541184,17.607195940577196,17.728267546389482,11.273746415886293,14.639215742063026,17.392155044153913,2.871070342066404,10.103893459410804
visionMode,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track,Hub Track
